user_id,message_id,message_opened,message_replied,reaction_time_minutes,notification_dismissed,muted_after_message,message_reported
u_011,message_0001,1,1,2,0,0,0
u_006,message_0002,1,1,2,0,0,0
u_010,message_0003,1,1,2,0,0,0
u_001,message_0004,1,1,2,0,0,0
u_003,message_0005,1,1,2,0,0,0
u_004,message_0006,1,1,2,0,0,0
u_012,message_0007,1,0,120,0,0,0
u_015,message_0008,1,0,120,0,0,0
u_035,message_0009,1,0,120,0,0,0
u_026,message_0010,1,0,120,0,0,0
u_002,message_0011,1,0,120,0,0,0
u_026,message_0012,1,0,120,0,0,0
u_001,message_0013,0,0,,1,1,0
u_001,message_0014,0,0,,1,1,0
u_006,message_0015,0,0,,1,1,0
u_006,message_0016,0,0,,1,1,0
u_007,message_0017,0,0,,1,1,0
u_007,message_0018,0,0,,1,1,0
u_005,message_0019,0,0,,1,1,0
u_011,message_0020,0,0,,1,1,0
u_012,message_0021,0,0,,1,1,0
u_012,message_0022,0,0,,1,1,0
u_009,message_0023,1,0,9,0,0,0
u_005,message_0024,0,0,,1,1,1
u_033,message_0025,0,0,,1,1,1
u_002,message_0026,0,0,,1,1,1
u_010,message_0027,0,0,,1,1,0
u_001,message_0028,0,0,,1,1,1
u_011,message_0029,1,1,2,0,0,0
u_011,message_0030,0,0,,1,1,0
u_010,message_0031,1,1,2,0,0,0
u_008,message_0032,0,0,,1,1,1
u_012,message_0033,1,0,120,0,0,0
u_007,message_0034,0,0,,1,1,0
u_028,message_0035,1,0,120,0,0,0
u_004,message_0036,1,0,120,0,0,0
u_006,message_0037,1,1,2,0,0,0
u_026,message_0038,1,0,120,0,0,0
u_001,message_0039,0,0,,1,1,0
u_001,message_0040,0,0,,1,1,0
u_010,message_0041,1,1,2,0,0,0
u_003,message_0042,0,0,,1,1,0
u_011,message_0043,1,1,2,0,0,0
u_011,message_0044,1,1,2,0,0,0
u_009,message_0045,1,0,9,0,0,0
u_001,message_0046,1,1,2,0,0,0
u_001,message_0047,1,1,2,0,0,0
u_010,message_0048,1,1,2,0,0,0
u_010,message_0049,1,1,2,0,0,0
u_010,message_0050,1,1,2,0,0,0
u_010,message_0051,1,1,2,0,0,0
u_003,message_0052,1,1,2,0,0,0
u_003,message_0053,1,1,2,0,0,0
u_032,message_0054,1,1,2,0,0,0
u_032,message_0055,1,1,2,0,0,0
u_011,message_0056,1,1,2,0,0,0
u_011,message_0057,1,1,2,0,0,0
u_013,message_0058,1,0,120,0,0,0
u_013,message_0059,1,0,120,0,0,0
u_020,message_0060,1,0,120,0,0,0
u_020,message_0061,1,0,120,0,0,0
u_021,message_0062,1,0,120,0,0,0
u_021,message_0063,1,0,120,0,0,0
u_002,message_0064,1,0,120,0,0,0
u_002,message_0065,1,0,120,0,0,0
u_001,message_0066,0,0,,1,1,0
u_001,message_0067,0,0,,1,1,0
u_003,message_0068,0,0,,1,1,0
u_003,message_0069,0,0,,1,1,0
u_035,message_0070,0,0,,1,1,0
u_035,message_0071,0,0,,1,1,0
u_007,message_0072,0,0,,1,1,0
u_007,message_0073,0,0,,1,1,0
u_009,message_0074,1,0,9,0,0,0
u_009,message_0075,1,0,9,0,0,0
u_005,message_0076,0,0,,1,1,1
u_005,message_0077,0,0,,1,1,1
u_027,message_0078,0,0,,1,1,1
u_027,message_0079,0,0,,1,1,1
u_002,message_0080,0,0,,1,1,1
u_002,message_0081,0,0,,1,1,1
u_013,message_0082,0,0,,1,1,1
u_013,message_0083,0,0,,1,1,1
u_032,message_0084,0,0,,1,1,0
u_032,message_0085,0,0,,1,1,0
u_011,message_0086,1,1,2,0,0,0
u_011,message_0087,1,1,2,0,0,0
u_011,message_0088,0,0,,1,1,0
u_011,message_0089,0,0,,1,1,0
u_002,message_0090,1,0,120,0,0,0
u_002,message_0091,1,0,120,0,0,0
u_007,message_0092,0,0,,1,1,0
u_007,message_0093,0,0,,1,1,0
u_001,message_0094,1,1,2,0,0,0
u_001,message_0095,1,1,2,0,0,0
u_008,message_0096,0,0,,1,1,1
u_008,message_0097,0,0,,1,1,1
u_012,message_0098,1,0,120,0,0,0
u_012,message_0099,1,0,120,0,0,0
u_007,message_0100,0,0,,1,1,0
u_007,message_0101,0,0,,1,1,0
u_032,message_0102,1,0,120,0,0,0
u_032,message_0103,1,0,120,0,0,0
u_033,message_0104,0,0,,1,1,0
u_033,message_0105,0,0,,1,1,0
u_004,message_0106,1,1,2,0,0,0
u_004,message_0107,1,1,2,0,0,0
u_016,message_0108,1,0,120,0,0,0
u_016,message_0109,1,0,120,0,0,0
u_014,message_0110,1,0,120,0,0,0
u_014,message_0111,1,0,120,0,0,0
u_001,message_0112,0,0,,1,1,0
u_001,message_0113,0,0,,1,1,0
u_015,message_0114,1,0,120,0,0,0
u_015,message_0115,1,0,120,0,0,0
u_015,message_0116,0,0,,1,1,1
u_015,message_0117,0,0,,1,1,1
u_011,message_0118,1,1,2,0,0,0
u_011,message_0119,1,1,2,0,0,0
u_035,message_0120,0,0,,1,1,0
u_035,message_0121,0,0,,1,1,0
u_006,message_0122,1,1,2,0,0,0
u_006,message_0123,1,1,2,0,0,0
u_007,message_0124,0,0,,1,1,0
u_007,message_0125,0,0,,1,1,0
u_001,message_0126,1,0,120,0,0,0
u_001,message_0127,1,0,120,0,0,0
u_001,message_0128,1,1,2,0,0,0
u_001,message_0129,1,1,2,0,0,0
u_011,message_0130,1,1,2,0,0,0
u_011,message_0131,1,1,2,0,0,0
u_004,message_0132,0,0,,1,1,1
u_004,message_0133,0,0,,1,1,1
u_010,message_0134,1,1,2,0,0,0
u_010,message_0135,1,1,2,0,0,0
u_005,message_0136,0,0,,1,1,1
u_005,message_0137,0,0,,1,1,1
u_011,message_0138,1,1,2,0,0,0
u_011,message_0139,1,1,2,0,0,0
u_011,message_0140,0,0,,1,1,1
u_011,message_0141,0,0,,1,1,1
u_018,message_0142,1,1,2,0,0,0
u_018,message_0143,1,1,2,0,0,0
u_014,message_0144,1,1,2,0,0,0
u_014,message_0145,1,1,2,0,0,0
u_007,message_0146,0,0,,1,1,0
u_007,message_0147,0,0,,1,1,0
u_016,message_0148,0,0,,1,1,1
u_016,message_0149,0,0,,1,1,1
u_005,message_0150,1,0,120,0,0,0
u_005,message_0151,1,0,120,0,0,0
u_012,message_0152,0,0,,1,1,1
u_012,message_0153,0,0,,1,1,1
u_037,message_0154,1,1,2,0,0,0
u_037,message_0155,1,1,2,0,0,0
u_001,message_0156,1,1,2,0,0,0
u_001,message_0157,1,1,2,0,0,0
u_010,message_0158,1,1,2,0,0,0
u_010,message_0159,1,1,2,0,0,0
u_001,message_0160,0,0,,1,1,0
u_001,message_0161,0,0,,1,1,0
u_009,message_0162,0,0,,1,1,0
u_009,message_0163,0,0,,1,1,0
u_016,message_0164,1,1,2,0,0,0
u_016,message_0165,1,1,2,0,0,0
u_003,message_0166,0,0,,1,1,0
u_003,message_0167,0,0,,1,1,0
